,German, English
0,der,the
1,und,and
2,in,in
3,sein,be
4,ein,a 
5,haben,to have
6,sie,you
7,werden,will
8,von,from
9,ich,I
10,nicht,not
11,es,it
12,mit,With
13,sich,itself
14,er,he
15,auf,on
16,für,for
17,auch,also
18,an,at
19,dass,that
20,zu,to
21,als,as
22,können,be able
23,dies,this
24,wie,how
25,wir,weather
26,ihr,her
27,so,so
28,bei,at
29,sein,be
30,aber,but
31,man,one
32,noch,still
33,nach,to
34,oder,or
35,all,Alles
36,aus,out of
37,was,What
38,nur,just
39,sagen,to say
40,dann,then
41,wenn,if
42,müssen,have to
43,um,around
44,ja,Yes
45,kein,no
46,über,about
47,da,there
48,geben,give
49,vor,in front
50,mein,my
51,mehr,more
52,Jahr,Year
53,du,you
54,durch,through
55,viel,much
56,wollen,want
57,machen,do
58,andere,other
59,sollen,must
60,schon,beautiful
61,kommen,come
62,mir,to me
63,mich,me
64,gehen,walk
65,groß,big
66,hier,here
67,ganz,quite
68,zwei,two
69,also,so
70,jetzt,now
71,doch,indeed
72,wieder,once again
73,uns,us
74,gut,Good
75,bis,until
76,wissen,to know
77,sehen,see
78,einer,a
79,sehr,very
80,Mal,Times
81,lassen,to let
82,neu,New
83,stehen,stand
84,unser,our
85,jede,every
86,weil,because
87,unter,under
88,Mensch,person
89,ihn,him
90,denn,then
91,Beispiel,example
92,erste,first
93,Zeit,time
94,lang,long
95,leben,Life
96,Frau,woman
97,etwas,something
